종목명,항목,내용
건설재료시험기사,개요,"부실공사에 의한 막대한  인명 및 재산피해를 미연에 방지하기 위해서 건설현장의 기초 공사에 필요한 토질검사를 실시하고, 배합설계도의 강도와 일치하는 건설재료를 사용 하고 있는가를 검사하여 건물이나 시설의 안전을 확보할 수 있는 전문인력의 양성이 요 구 되어 자격 제도 제정. "
건설재료시험기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학에 개설되어 있는 토목공학, 건축공학 관련학과③ 시험과목   - 필기     1. 콘크리트공학    2. 건설시공 및 관리    3. 건설재료 및 시험    4. 토질 및 기초   - 실기 : 토질 및 건설재료 시험④ 검정방법   - 필기 : 객관식 4지 택일형 과목당 20문항 (과목당 30분)   - 실기 : 복합형[필답형(2시간) + 작업형(3시간 정도)]⑤ 합격기준   - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상   - 실기 : 100점을 만점으로 하여 60점 이상 "
건설재료시험기사,실시기관명,한국산업인력공단 
건설재료시험기사,실시기관 홈페이지,http://www.q-net.or.kr
건설재료시험기사,수행직무,"공사현장의 흙을 채취하여 여러가지 항목에 걸쳐 검사를 실시한 후 토질이 예정된 공사 에 적합한가, 혹은 적절하지 못하다면 어떤 방법으로 이 문제를 해결할 것인가를 조사 하며,  교량, 항만, 도로, 건물 등 건설공사에 사용되는 자갈, 모래, 아스팔트, 콘  크리트 등의 품질을 배합설계도대로 강도에 일치하게 하기 위하여 혼합비율을 결정하 고 공시체를 제작하여 강도시험을 하고 견본자재를 검사하는 업무수행. "
건설재료시험기사,변천과정,1982년 토목재료시험기사1급으로 신설되어 1991년 건설재료시험기사1급으로 1999년 3월  건설재료시험기사로 개정. 
건설재료시험기사,위 자격취득자에 대한 법령상 우대현황,▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등)▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험)▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 기술개발촉진법  □ 동법 시행령 제15조 (특정연구개발사업 참여기관 등의 기준)▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제106조 (계약심의위원회의 구성)▣ 부품·소재전문기업 등의 육성에 관한 특별조치법 □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등) ▣ 선거관리위원회 공무원규칙 □ 동규칙 제21조 (특별채용의 요건)  □ 동규칙 제85조 (전직시험이 면제되는 직급별 자격증 구분)  
건설재료시험기사,진로 및 전망,"- 건설업체 품질관리부서, 건설교통부 지정 품질검사전문기관, 건설재료시험 관련 연구   소, 콘크리트파일 등 건설자재 생산공장, 레미콘 및 아스콘 생산업체 등으로 진출   할 수 있다. - 건설재료시험기사의 고용은 건설경기에 크게 영향을 받기 때문에 국제통화기금 관리   체제 이후에 공사량이 감소하면서 신규취업은 물론이고 기존 취업자도 고용이 불안정   한 형편이었다.  그러나 중급기술 정도의 시험원은 여전히 부족한 실정으로 향후 경   쟁체제에 의한 건설 고품질화가 계속 추진되고, 건설기술관리법도 더욱 강화될 것이   므로 숙련된 건설재료시험기사에 대한 인력수요는 증가할 것이다."
건설재료시험산업기사,실시기관명,한국산업인력공단 
건설재료시험산업기사,수행직무,"공사현장의 흙을 채취하여 여러가지 항목에 걸쳐 검사를 실시한 후 토질이 예정된 공사 에 적합한가, 혹은 적절하지 못하다면 어떤 방법으로 이 문제를 해결할 것인가를 조사 하며,  교량, 항만, 도로, 건물 등 건설공사에 사용되는 자갈, 모래, 아스팔트, 콘크리 트 등의 품질을 배합설계도대로 강도에 일치하게 하기 위하여 혼합비율을 결정하고 공 시체를 제작하여 강도시험을 하고 견본자재를 검사하는 업무수행. "
건설재료시험산업기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학에 개설되어 있는 토목공학, 건축공학 관련학과③ 시험과목   - 필기      1. 콘크리트공학     2. 건설재료 및 시험     3. 건설시공학     4. 토질 및 기초   - 실기 : 토질 및 건설재료 시험④ 검정방법   - 필기 : 객관식 4지 택일형 과목당 20문항 (과목당 30분)   - 실기 : 복합형[필답형(1시간30분) + 작업형(3시간정도)]⑤ 합격기준   - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상.   - 실기 : 100점을 만점으로 하여 60점 이상. "
건설재료시험산업기사,진로 및 전망,"- 건설업체 품질관리부서, 건설교통부 지정 품질검사전문기관, 건설재료시험 관련 연구   소, 콘크리트파일 등 건설자재 생산공장, 레미콘 및 아스콘 생산업체 등으로 진출할    수 있다. - 건설재료시험산업기사의 고용은 건설경기에 크게 영향을 받기 때문에 국제통화기금    관리체제 이후에 공사량이 감소하면서 신규취업은 물론이고 기존 취업자도 고용이 불   안정한 형편이었다.  그러나 중급기술 정도의 시험원은 여전히 부족한 실정으로 향   후 경쟁체제에 의한 건설 고품질화가 계속 추진되고, 건설기술관리법도 더욱 강화됨   에 따라 숙련된 건설재료시험산업기사에 대한 인력수요는 증가할 것이다."
건설재료시험산업기사,위 자격취득자에 대한 법령상 우대현황,▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준)▣ 고등학교 졸업학력 검정고시 규칙   □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청)▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등) ▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험)▣ 국가공무원법 □ 동법   제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률  □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법□ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>)▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 기술개발촉진법 □ 동법 시행령 제15조 (특정연구개발사업 참여기관 등의 기준)▣ 소방시설 설치 유지 및 안전관리에 관한 법률 □ 동법 시행령 제106조 (계약심의위원회의 구성)▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 선거관리위원회 공무원규칙 □ 동규칙 제21조 (특별채용의 요건)  □ 동규칙 제85조 (전직시험이 면제되는 직급별 자격증 구분)  
건설재료시험산업기사,개요,"부실공사에 의한 막대한  인명 및 재산피해를 미연에 방지하기 위해서 건설현장의 기초 공사에 필요한 토질검사를 실시하고, 배합설계도의 강도와 일치하는 건설재료를 사용하 고 있는가를 검사하여 건물이나 시설의 안전을 확보할 수 있는 전문인력의 양성이 요구 되어 자격제도 제정. "
건설재료시험산업기사,변천과정,"건설재료시험기사2급, 건설재료기능사1급이 1999년 3월 건설재료시험산업기사로 통합. "
건설재료시험산업기사,실시기관 홈페이지,http://www.q-net.or.kr
건축구조기술사,진로 및 전망,"- 일반건설회사와 전문건설회사, 감리전문회사에 취업할 수 있으며, 이밖에 건축구조관   련 연구소 및 유관기관으로 진출할 수 있다. - 건축구조기술자의 인력수요는 증가할 것이다.  건설경기 활성화 대책으로 공공건설   의 투자확대, 주택자금의 지원, 세제지원, 국민 임대주택의 건설 및 각종 법령의 개   정 등 정부의 정책적 지원과 국내 대형 건설사들의 경영상태가 부채 비율 감소, 자기   자본비율 증가 등의 영향으로 건전해지고 향후 부동산 경기회복이 본격화될 것으로    보고 아파트공급량을 대폭 확대할 계획이며, 해외건설공사 수주현장(99. 8. 31 현재)   을 보면 중동 및 아시아 지역을 중심으로 전년동기대비(금액) 313.6 증가하는 등 증   가요인이 많이 작용하고 있으며 특히 국내외 천재지변으로 인한 건축구조분야의 중요   성이 증대되어 건출구조기술자의 인력 수요는 증가할 것이다. "
건축구조기술사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학의 건축공학, 건축설계학 관련학과③ 시험과목   - 건축에 관한 구조의 계획, 계산 및 감리 기타 건축물의 구조에 관한 사항④ 검정방법   - 필기 : 단답형 및 주관식 논술형(매교시당 100분, 총 400분)   - 면접 : 구술형 면접시험(30분 정도)⑤ 합격기준   - 100점 만점에 60점 이상 "
건축구조기술사,위 자격취득자에 대한 법령상 우대현황,▣ 산업안전기준에 관한 규칙 □ 동규칙 제117조의2 (타워크레인의지지) ▣ 주택건설기준 등에 관한 규칙 □ 동법 제14조(건축사의 설계·감리를 받지 아니하는 공업화주택의 건설자) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 조세특례제한법 □ 동법 시행령 제5조 (창업중소기업 등에 대한 세액감면) ▣ 고등학교 졸업학력 검정고시 규칙   □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격)   ▣ 과학기술인공제회법 □ 동법 제6조 (회원의 자격) ▣ 국가과학기술경쟁력강화를 위한 이공계지원특별법 □ 동법 제16조 (기업의 이공계인력의 활용지원) ▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등) ▣ 국가공무원법 □ 동법  제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조 (국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률  □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 지방자치법 □ 동법 시행령 제26조 (감사청구심의회) ▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제106조 (계약심의위원회의 구성) ▣ 공원구역내 광물채굴허가 사무처리규칙 □ 동규칙 제6조 (허가절차 등)  ▣ 기술이전촉진법 □ 동법 시행령 제16조 (기술거래사의 자격 등) ▣ 방위사업법 □ 동법 시행령 제5조 (옴부즈만의 구성·자격기준 및 임기 등)▣ 부품·소재전문기업 등의 육성에 관한 특별조치법  □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등)▣ 공직자 윤리법 □ 동법 시행령 제34조 (취업승인) ▣ 기간제 및 단시간근로자 보호 등에 관한 법률 □ 동법 시행령 제3조 (기간제근로자 사용기간 제한의 예외)▣ 중소기업창업지원법 □ 동법 시행령 제8조 (창업투자회사의 등록요건) ▣ 시설물의 안전관리에 관한 특별법 □ 동법 시행령 제7조 (책임기술자의 자격등) ▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등) ▣ 선거관리위원회 공무원규칙 □ 동규칙 제21조 (특별채용의 요건)  □ 동규칙 제85조 (전직시험이 면제되는 직급별 자격증 구분)  □ 동규칙 제89조 (채용시험의 특전)  
건축구조기술사,개요,"건축의 계획 및 설계에서 시공, 관리에 이르는 전과정에 관한 공학적 지식과 기술, 그리 고 풍부한 실무경험을 갖춘 전문인력을 양성하고자 자격제도 제정. "
건축구조기술사,변천과정,1974년 건축기술사(건축구조)로 신설되어 1991년 건축구조기술사로 개정. 
건축구조기술사,수행직무,"건축구조 분야에 관한 고도의 전문지식과 실무경험에 입각한 계획, 연구, 설계, 분석,  시험, 운영, 시공, 평가 또는 이에 관한 지도, 감리 등의 기술업무 수행. "
건축구조기술사,실시기관 홈페이지,http://www.q-net.or.kr
건축구조기술사,실시기관명,한국산업인력공단 
건축기계설비기술사,실시기관명,한국산업인력공단 
건축기계설비기술사,실시기관 홈페이지,http://www.q-net.or.kr
건축기계설비기술사,수행직무,"건축설비분야에 관한 고도의 전문지식과 실무경험에 입각한 계획, 연구, 설계, 분석, 시 험, 운영, 시공, 평가 또는 이에 관한 지도, 감리 등의 기술업무 수행. "
건축기계설비기술사,변천과정,1982년 건축기술사(건축기계설비)로 신설되어 1991년 건축기계설비기술사로 개정. 
건축기계설비기술사,위 자격취득자에 대한 법령상 우대현황,▣ 건축법 □ 동법 시행령 제91조의3 (관계전문기술자와의 협력)  □ 동법 시행규칙 제25조 (대지의 조성)  □ 동법 시행규칙 제36조의2 (관계전문기술자) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 조세특례제한법 □ 동법 시행령 제5조 (창업중소기업 등에 대한 세액감면) ▣ 고등학교 졸업학력 검정고시 규칙   □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격)   ▣ 과학기술인공제회법 □ 동법 제6조 (회원의 자격) ▣ 국가과학기술경쟁력강화를 위한 이공계지원특별법 □ 동법 제16조 (기업의 이공계인력의 활용지원) ▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등) ▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조 (국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률  □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차)▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 지방자치법 □ 동법 시행령 제26조 (감사청구심의회) ▣ 소방시설 설치 유지 및 안전관리에 관한 법률  □ 동법 시행령 제106조 (계약심의위원회의 구성) ▣ 공원구역내 광물채굴허가 사무처리규칙 □ 동규칙 제6조 (허가절차 등)  ▣ 기술이전촉진법 □ 동법 시행령 제16조 (기술거래사의 자격 등) ▣ 방위사업법 □ 동법 시행령 제5조 (옴부즈만의 구성·자격기준 및 임기 등)▣ 부품·소재전문기업 등의 육성에 관한 특별조치법 □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등)▣ 공직자 윤리법 □ 동법 시행령 제34조 (취업승인) ▣ 기간제 및 단시간근로자 보호 등에 관한 법률 □ 동법 시행령 제3조 (기간제근로자 사용기간 제한의 예외)▣ 중소기업창업지원법 □ 동법 시행령 제8조 (창업투자회사의 등록요건) ▣ 시설물의 안전관리에 관한 특별법 □ 동법 시행령 제7조 (책임기술자의 자격등) ▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등) ▣ 선거관리위원회 공무원규칙 □ 동규칙 제21조 (특별채용의 요건)  □ 동규칙 제85조 (전직시험이 면제되는 직급별 자격증 구분)  □ 동규칙 제89조 (채용시험의 특전)  
건축기계설비기술사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학의 건축공학, 건축설비공학, 전기공학 관련학과③ 시험과목   - 건축기계설비의 계획과 설계, 감리 및 의장 기타 건축기계설비에 관한 사항④ 검정방법   - 필기 : 단답형 및 주관식 논술형(매교시당 100분, 총 400분)   - 면접 : 구술형 면접시험(30분 정도)⑤ 합격기준   - 100점 만점에 60점 이상 득점자 "
건축기계설비기술사,진로 및 전망,"- 일반건설회사와 전문건설회사, 감리전문회사에 취업할 수 있으며,  그밖에 주택건설회   사, 건축설계회사, 엔지니어링회사, 기술사사무소, 안전진단전문기관, 건설품질검사   전문기관, 측량회사, 유지관리회사, 건설교육기관 등으로 진출할 수 있다. - 정부의 주택자금 및 세제지원, 주택거래 및 공급에 대한 규제완화 등 건설 및  부동   산경기 활성화 정책의 시행과 건설경기 선행지표인 건축허가 면적과 건설 수주도 외   환위기 이후 처음으로 반전되는 등 건설 및 부동산경기가 회복되고 있으며, 건축물규   모의 대형화에 따른 건축설비기술사 자격취득자에 대한 인력 수요는 증가할 것이다."
건축기계설비기술사,개요,"건축설비는 우리 인체와 비교하여 건물의 핏줄과 신경계와 같은 매우 중요한 분야로서  실내외의 환경이 인간과 기타 물체에 적합해지도록 위생설비, 냉난방설비, 환기설비,  공기조화설비, 방재설비 및 기타설비의 계획 및 설계에서 시공, 관리에 이르는 전과정 에 관한 공학적 지식과 기술, 그리고 풍부한 실무경험을 갖춘 전문인력을 양성하고자  자격 제도 제정. "
건축기사,위 자격취득자에 대한 법령상 우대현황,▣ 소방시설 설치 유지 및 안전관리에 관한 법률 □ 동법 시행령 제23조 (방화관리자의 선임대상자)  □ 동법 제25조 (소방시설등의 자체점검 등)  □ 동법 시행령 제17조 (소방시설등 자체점검 기술자격자의 범위) ▣ 건축물대장의 기재 및 관리 등에 관한 규칙 □ 동규칙 제9조 (건축물현황도의 작성자) ▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국외유학에 관한 규정 □ 동 규정 제5조 (자비유학자격) ▣ 기술사법 □ 동법 시행령 제19조 (합동기술사사무소의 등록기준 등)▣ 국가과학기술 경쟁력강화를 위한 이공계지원특별법 □ 동법 시행령 제20조 (연구기획평가사의 자격시험)▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조(국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>) □ 동법 제39조 (전역보류) ▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등) ▣ 기술개발촉진법 □ 동법 시행령 제15조 (특정연구개발사업 참여기관 등의 기준)▣ 소방시설 설치 유지 및 안전관리에 관한 법률 □ 동법 시행령 제106조 (계약심의위원회의 구성) □ 동법 시행령 제8조 (소방검사자의 자격)  ▣ 부품·소재전문기업 등의 육성에 관한 특별조치법 □ 동법 시행령 제14조 (부품·소재기술개발전문기업의 지원기준 등) ▣ 건설기술관리법 □ 동법 시행령 제4조 (건설기술자의 범위)▣ 법원공무원규칙 □ 동규칙 제19조 (특별채용시험의 응시요건 등) ▣ 다중이용업소의 안전관리에 관한 특별법 □ 동법 시행령 제14조 (화재위험평가대행자의 등록신청 등)▣ 선거관리위원회 공무원규칙 □ 동규칙 제21조 (특별채용의 요건)  □ 동규칙 제85조 (전직시험이 면제되는 직급별 자격증 구분)  
건축기사,진로 및 전망,"- 종합 또는 전문건설회사의 건설현장, 건축사사무소, 용역회사, 시공회사 등으로 진출   할 수 있다. - 건축기사의 인력수요는 증가할 것이다.  신규 착공부지의 부족, 기업에 대한 정부의   강도 높은 금융제재로 투자위축 우려, 전세대란의 대책으로 인한 재건축사업의 부   진 우려, 지방지역의 높은 주택보급률에 대한 부담 등 감소요인이 있으나 앞으로의    건설경기 동향을 가늠할 수 있는 선행지표인 건축허가 면적이 경기회복의 기대감으   로 급증세를 보이고 있으며, 이밖에 최근 저금리추세가 지속, 민간임대사업의 활성   화, 소규모 공동주택 재건축 허용, 민영주택의 청약자격 완화, 대형 호화주택에 대   한 중과세 방침철회 등 증가요인으로 건축기사 자격취득자에 대한 인력수요는 증가   할 것이다."
건축기사,수행직무,"- 건축의뢰자와 협의하여 건축의 형태와 설계에 관한 필요조건 등을 결정하고 사용자   재, 부대설비, 공사비 등에 대하여 전문적인 조언을 해줌.   - 건축물의 기능 및 공간적 조건을 결정하기 위하여 고객과 상담하고 통일성있게 조절   하여 건물의 규모, 기능, 배치를 설계함. - 상세한 설계도면을 작성하고 제도하여 도급자 또는 각 작업자에게 분배하며, 작업    진행이 설계와 일치하는지를 확인하기 위하여 공사진행상태를 감독하는 업무 수행."
건축기사,실시기관명,한국산업인력공단 
건축기사,실시기관 홈페이지,http://www.q-net.or.kr
건축기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학이나 전문대학의 건축, 건축공학, 건축설비, 실내건축 관련학과③ 시험과목   - 필기    1. 건축계획    2. 건축시공    3. 건축구조    4. 건축설비    5. 건축관계법규   - 실기 : 건축시공 실무④ 검정방법   - 필기 : 객관식 4지 택일형 과목당 20문항(과목당 30분)   - 실기 : 필답형(3시간)⑤ 합격기준   - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상   - 실기 : 100점을 만점으로 하여 60점 이상 "
건축기사,변천과정,"1974년 건축구조기사1급, 건축설비기사1급, 건축시공기사1급으로 신설되어 1980년 건 축기사1급으로 통합되었고 1999년 3월 건축기사로 개정. "
건축기사,개요,건축물의 계획 및 설계에서 시공에 이르기까지 전과정에 관한 공학적 지식과 기술을 갖 춘 기술인력으로 하여금 건축업무를 수행하게 함으로써 안전한 건축물 창조를 위하여  자격제도 제정. 
건축기술사(건축설비),실시기관명,한국산업인력공단 
건축기술사(건축설비),실시기관 홈페이지,www.q-net.or.kr/qtq/man001.do?gId28&gSiteL
